#Wavelenght                 #(rp/rs)^2                #error
2.872980000000000089e+00 5.514977153897538059e-04 4.643247631768184891e-05
2.893339999999999801e+00 5.515184104073257189e-04 4.643421880479484901e-05
2.913349999999999884e+00 5.515287303227548767e-04 4.643508748913588202e-05
2.933419999999999916e+00 5.515441274158283799e-04 4.643638331977096510e-05
2.953759999999999941e+00 5.515335315668315605e-04 4.643549116397326771e-05
2.974110000000000031e+00 5.515197348884503213e-04 4.643432972313416810e-05
2.994499999999999940e+00 5.515401539724545726e-04 4.643604845975210797e-05
3.014839999999999964e+00 5.515251431863758174e-04 4.643478475562366650e-05
3.035169999999999924e+00 5.515320415255663827e-04 4.643536544522083593e-05
3.055499999999999883e+00 5.515339730605397974e-04 4.643552808507608691e-05
3.075889999999999791e+00 5.515168651793470522e-04 4.643408785544429030e-05
3.096210000000000129e+00 5.515021855135493391e-04 4.643285162946236345e-05
3.116190000000000015e+00 5.515229357178347410e-04 4.643459897269008722e-05
3.136169999999999902e+00 5.515282336423331508e-04 4.643504476080722139e-05
3.156540000000000123e+00 5.515357942220861258e-04 4.643568141486876323e-05
3.176849999999999952e+00 5.515032340611063883e-04 4.643294018730788878e-05
3.197150000000000158e+00 5.515064900772042970e-04 4.643321426916441710e-05
3.217449999999999921e+00 5.515263572940733335e-04 4.643488694019888709e-05
3.237740000000000062e+00 5.515259709870786939e-04 4.643485448653258653e-05
3.258100000000000218e+00 5.515625045914322386e-04 4.643793048330585962e-05
3.278379999999999850e+00 5.515316000318581458e-04 4.643532829170986205e-05
3.298669999999999991e+00 5.515371738899242171e-04 4.643579760869476095e-05
3.318950000000000067e+00 5.515218871702778003e-04 4.643451069190067702e-05
3.339220000000000077e+00 5.515444033493959331e-04 4.643640629905188488e-05
3.359490000000000087e+00 5.515276265884843385e-04 4.643499394913716435e-05
3.379760000000000097e+00 5.515306066710148024e-04 4.643524501800895245e-05
3.400079999999999991e+00 5.515351871682373135e-04 4.643563057302469566e-05
3.420329999999999870e+00 5.515286751360413877e-04 4.643508232125747519e-05
3.440589999999999815e+00 5.515164236856388152e-04 4.643405073859828951e-05
3.460830000000000073e+00 5.515406506528762985e-04 4.643609056240007509e-05
3.481079999999999952e+00 5.515349664213832492e-04 4.643561202445529052e-05
3.501310000000000144e+00 5.514953423610722627e-04 4.643227592143307303e-05
3.521549999999999958e+00 5.515402643458816589e-04 4.643605847762272848e-05
3.541780000000000150e+00 5.515312689115771036e-04 4.643530098388149341e-05
3.561999999999999833e+00 5.515562684928038660e-04 4.643740578373693029e-05
3.582549999999999901e+00 5.515419199472874120e-04 4.643619746547803808e-05
3.603099999999999969e+00 5.514951216142181985e-04 4.643225754271618970e-05
3.623369999999999980e+00 5.515388846780434591e-04 4.643594204689997909e-05
3.643580000000000041e+00 5.515053863429337589e-04 4.643312203973680365e-05
3.663769999999999971e+00 5.515137195366761214e-04 4.643382352044384844e-05
3.683969999999999967e+00 5.515192382080285954e-04 4.643428823540411438e-05
3.704149999999999832e+00 5.515541162109763871e-04 4.643722489480653603e-05
3.831360000000000099e+00 5.515486527263374020e-04 4.643676579953014008e-05
3.849499999999999922e+00 5.515554958788145869e-04 4.643734126164126972e-05
3.869299999999999962e+00 5.515276265884843385e-04 4.643499526433834040e-05
3.889040000000000052e+00 5.515298340570254148e-04 4.643518087657531261e-05
3.908840000000000092e+00 5.515679680760712236e-04 4.643839190960718214e-05
3.928290000000000060e+00 5.515155406982224498e-04 4.643397771211093937e-05
3.948080000000000034e+00 5.515333660066909852e-04 4.643547857547307238e-05
3.967859999999999943e+00 5.515564892396579303e-04 4.643742551309023355e-05
3.987629999999999786e+00 5.515331452598369209e-04 4.643546015004436166e-05
4.007399999999999629e+00 5.515706170383204284e-04 4.643861521334779975e-05
4.027160000000000295e+00 5.515204523157262199e-04 4.643439176966272086e-05
4.046909999999999563e+00 5.515461693242287725e-04 4.643655726329483596e-05
4.066659999999999719e+00 5.515165340590659016e-04 4.643406204703333319e-05
4.086409999999999876e+00 5.515490390333320416e-04 4.643679914909397324e-05
4.105809999999999960e+00 5.515499220207485155e-04 4.643687333969908254e-05
4.125479999999999592e+00 5.515447344696770837e-04 4.643643680968103716e-05
4.145539999999999559e+00 5.515330348864098346e-04 4.643545178197898611e-05
4.165259999999999962e+00 5.515774601907975049e-04 4.643919220226511060e-05
4.184969999999999857e+00 5.515461693242287725e-04 4.643655782169133856e-05
4.204679999999999751e+00 5.515507498214513920e-04 4.643694381420713423e-05
4.224380000000000024e+00 5.515877249195131737e-04 4.644005687341729418e-05
4.244080000000000297e+00 5.515487079130508910e-04 4.643677195303937437e-05
4.263700000000000045e+00 5.515632220187080288e-04 4.643799421907652880e-05
4.283389999999999809e+00 5.515244257590999188e-04 4.643472785788414910e-05
4.303060000000000329e+00 5.514916448512661171e-04 4.643196893539244048e-05
4.323059999999999903e+00 5.515669195285141744e-04 4.643830594849895546e-05
4.342730000000000423e+00 5.515466108179370094e-04 4.643659685819664934e-05
4.362320000000000420e+00 5.514912033575578802e-04 4.643193191589134878e-05
4.382299999999999862e+00 5.515998108097750624e-04 4.644107656791875139e-05
4.401939999999999742e+00 5.515238187052512149e-04 4.643467885531051670e-05
4.421579999999999622e+00 5.515216664234237360e-04 4.643449767982952013e-05
4.441539999999999822e+00 5.514947904939370479e-04 4.643223539847566721e-05
4.461090000000000444e+00 5.514985983771702798e-04 4.643255589703050031e-05
4.480710000000000193e+00 5.515184104073257189e-04 4.643422387272437774e-05
4.500650000000000261e+00 5.515517431822948438e-04 4.643703084472424527e-05
4.520249999999999879e+00 5.516047224272788325e-04 4.644149193856860066e-05
4.539780000000000371e+00 5.514769099987549151e-04 4.643073048806768688e-05
4.559689999999999799e+00 5.515148784576601486e-04 4.643392864840302248e-05
4.579600000000000115e+00 5.514844153917942927e-04 4.643136480823586233e-05
4.599109999999999587e+00 5.515545025179710266e-04 4.643726541119526233e-05
4.618669999999999831e+00 5.515466108179370094e-04 4.643660098222073570e-05
4.638560000000000016e+00 5.515111257611404055e-04 4.643361341335090357e-05
4.658439999999999692e+00 5.514800004547123569e-04 4.643099512000190487e-05
4.678239999999999732e+00 5.515090838527400129e-04 4.643344130713072514e-05
4.697770000000000223e+00 5.515353527283778888e-04 4.643565653054714985e-05
4.717299999999999827e+00 5.515252535598027953e-04 4.643480402088796355e-05
4.737079999999999735e+00 5.514841946449402284e-04 4.643134705134863382e-05
4.756910000000000416e+00 5.514915344778390308e-04 4.643196587419750010e-05
4.776679999999999815e+00 5.515170859262011165e-04 4.643411819559478047e-05
4.796499999999999986e+00 5.515072075044801956e-04 4.643328598466298090e-05
4.816309999999999647e+00 5.515505290745972193e-04 4.643693375825995684e-05
4.836050000000000182e+00 5.515001436051489465e-04 4.643269206797238647e-05
4.855839999999999712e+00 5.515309377912959530e-04 4.643528451743613258e-05
4.875630000000000130e+00 5.515905394419029538e-04 4.644030413715869072e-05
4.895340000000000025e+00 5.515398228521734220e-04 4.643603567593152247e-05
4.915110000000000312e+00 5.515681336362116905e-04 4.643841808336330386e-05
4.934800000000000075e+00 5.515667539683735991e-04 4.643830243558704992e-05
4.954550000000000232e+00 5.515227149709806768e-04 4.643459455004051020e-05
